LineNo,PhotoID,UserID,DateTaken,Latitude,Longitude,Accuracy
898,4256363529,97188200@N00,01-2010,77.620979,12.9558,8.0
2272,2498375715,58419684@N00,05-2008,77.177581,31.104685,9.0
3032,4132612622,86124626@N00,11-2009,76.689891,10.127737,12.0
3417,12922766464,29780116@N03,02-2014,77.205982,28.607156,16.0
4898,3736461532,21589235@N06,02-2008,85.378997,27.797,13.0
5365,5797806581,96863630@N00,06-2011,72.829148,18.9531,16.0
5930,2249551851,45306251@N00,02-2008,90.359287,22.817801,12.0
6376,5097182980,10267552@N00,10-2010,85.320168,27.670759,16.0
7166,12912116753,69754706@N02,11-2013,75.850713,26.986161,16.0
7217,181679983,89719900@N00,09-2005,86.589431,28.202767,10.0
8180,4610575156,16069488@N00,02-2010,77.489097,27.215299,16.0
8339,518723723,40040700428@N01,05-2007,69.167432,34.52261,12.0
8394,6307380477,61545321@N06,11-2011,89.736328,24.487148,6.0
9054,2094040610,21255424@N07,11-2007,78.008422,27.177843,11.0
11435,4553966075,46274484@N07,04-2010,77.074584,28.666491,7.0
11615,7571328980,61784959@N00,07-2010,78.021426,27.181432,14.0
12152,7179754898,74821492@N00,05-2012,80.24958,13.060422,16.0
12290,9167231400,37313707@N00,06-2013,84.887488,22.261891,16.0
12950,1030034142,8765969@N02,10-2006,73.822631,15.4325,6.0
13481,478340424,17754816@N00,04-2007,88.200988,27.309553,10.0
13840,8472289771,22991176@N02,02-2013,72.8833,26.470573,6.0
15089,3074118057,41178808@N00,11-2008,75.632286,35.304759,11.0
15348,196044558,81818938@N00,03-2005,78.040094,27.175132,10.0
15724,2528671360,62451331@N00,04-2008,78.034279,27.196033,14.0
17010,7536385196,8796403@N06,04-2004,73.910103,15.5019,16.0
17543,2995917864,31302833@N04,07-2008,85.31785,27.713166,16.0
17657,2094015084,21255424@N07,11-2007,78.008422,27.177843,11.0
17660,6196538724,43643447@N00,09-2010,89.64569,27.532629,7.0
18013,5845076971,7956695@N03,06-2011,76.629638,11.675436,11.0
18376,8471778967,8796403@N06,02-2013,81.889858,25.440949,12.0
19080,3230001369,24574470@N00,01-2009,73.763494,15.549787,13.0
19468,2909835769,98245622@N00,12-2007,73.023033,26.29732,16.0
20016,4473417921,35967967@N02,03-2010,74.841957,34.088634,12.0
20246,6272830384,24203582@N04,10-2011,90.628967,30.892797,7.0
20446,2832816007,44124298927@N01,08-2008,74.876246,31.619839,14.0
21378,8609819430,87850762@N02,03-2013,80.246694,12.811843,16.0
21536,168596272,69775797@N00,09-2005,69.016113,34.957995,4.0
22052,3547590206,72155957@N00,04-2009,77.193782,28.553128,16.0
22123,6464286529,37850683@N04,12-2011,77.220668,28.610534,16.0
23108,3640699318,36664496@N03,02-2014,77.644533,12.958675,16.0
23260,9642815165,60474555@N00,09-2013,77.584011,13.044675,16.0
23409,4152380936,27647890@N03,11-2009,78.04063,27.171248,15.0
24722,25515353,61886413@N00,11-2004,84.550781,27.974997,5.0
26591,172118083,99373037@N00,06-2006,76.481323,15.347761,7.0
27021,615678435,89044848@N00,07-2004,78.02134,27.180611,15.0
28791,5946945381,53396810@N00,06-2011,78.040781,27.172422,13.0
29924,4896737076,24574470@N00,08-2010,75.177898,20.01658,13.0
30178,1843862955,41247690@N00,06-2005,78.010826,13.223569,10.0
30801,327787043,16983412@N00,11-2006,79.628722,29.480331,16.0
31395,556199541,84609891@N00,06-2007,77.155351,12.30386,12.0
31850,8484619775,88991729@N00,02-2013,77.644963,12.973977,16.0
32337,4864524364,41259399@N07,04-2009,76.472381,15.32345,9.0
34195,3285236567,29795849@N00,10-2008,78.011212,27.178759,14.0
34479,7592340524,10188642@N00,07-2012,73.017883,26.298339,14.0
35110,7318725536,34663048@N00,05-2012,76.088261,11.618945,14.0
35846,8988725802,10340578@N06,02-2013,85.433686,27.672494,16.0
37310,7140456325,25652622@N00,04-2012,86.651776,27.832953,16.0
37601,11865831233,75546495@N03,09-2010,90.074677,27.45562,16.0
37876,8200072670,17616316@N00,12-2011,79.83593,11.930508,16.0
37879,5750853813,76209814@N00,05-2009,77.185692,28.524232,16.0
37909,3150517671,21994122@N04,10-2008,78.39524,17.439075,14.0
38497,6226447319,92095273@N00,10-2011,77.211311,28.640516,16.0
38660,5880479180,33088287@N00,02-2011,85.349371,27.710069,16.0
38943,529141508,7956695@N03,06-2007,77.697715,13.387866,12.0
39228,320533403,58324854@N00,11-2006,75.798797,26.920233,11.0
39642,2094118584,21255424@N07,10-2007,85.314159,27.707087,12.0
40505,6480504033,59151633@N00,11-2011,77.324126,19.145533,16.0
40959,5835855654,98472009@N00,02-2011,86.850833,28.141111,16.0
41038,6723145979,30145457@N08,12-2011,77.58768,12.983278,12.0
41169,2091078584,63138333@N00,11-2007,83.00879,25.305729,16.0
42898,5875266574,40584328@N00,06-2011,77.622613,12.984381,14.0
43322,1460386861,14355801@N06,09-2007,70.912027,26.911508,12.0
44453,4509567625,60955494@N00,01-2010,82.994842,25.33813,11.0
44789,3319830290,11124467@N02,04-2008,76.31671,9.94926,16.0
45623,8271249455,68987276@N05,12-2012,77.113037,28.64721,10.0
46749,349248859,96407553@N00,02-2006,76.651611,12.302183,16.0
47207,6510750829,50628848@N07,04-2011,85.136833,25.602792,14.0
47303,9216694115,17046628@N08,05-2013,72.825833,18.927333,16.0
47874,11124376326,35468149066@N01,08-2011,77.161333,28.550833,16.0
49241,6013340353,59049593@N03,07-2011,81.21025,8.591884,16.0
49272,3625819232,30244264@N06,06-2009,80.284609,13.054437,14.0
50092,38184030,82785675@N00,08-2005,73.198299,34.150098,12.0
50834,4092061369,14744444@N02,11-2009,73.754138,15.54998,12.0
52113,307873369,57155801@N00,11-2006,77.568165,13.01316,16.0
52709,6853090729,76413978@N08,10-2010,80.870361,29.064572,8.0
53561,4833688225,45306251@N00,06-2010,72.8426,33.745168,16.0
54761,6133994243,72155957@N00,08-2011,74.314613,27.129347,13.0
55440,2076814814,72295842@N00,10-2007,76.45832,15.321687,12.0
56515,2049949444,87232391@N00,11-2007,77.571426,12.945069,16.0
57512,3349809612,32569173@N02,01-2009,77.581329,12.99276,9.0
57836,3155106880,29480496@N05,12-2008,73.324985,16.99236,12.0
58504,5384634431,48587703@N00,01-2011,72.927289,22.554296,14.0
58510,5382531600,48587703@N00,01-2011,73.820915,23.297486,12.0
58688,974720446,45966355@N00,02-2007,73.687276,24.583968,12.0
59938,11361793556,13014046@N00,12-2013,73.703499,15.687542,16.0
62845,11059546726,97725124@N00,11-2013,74.878055,31.618888,16.0
62972,2173876557,19364701@N00,12-2007,76.612472,11.69813,11.0
63113,12247723834,95012188@N02,01-2013,72.586988,23.023836,16.0
63295,8371566312,49253583@N02,12-2012,70.921554,26.91962,16.0
63581,8619589865,67331794@N08,03-2013,76.912551,30.12985,11.0
63703,6458806717,7729354@N08,11-2011,77.38306,28.621822,12.0
63891,6956029837,49970491@N07,01-2012,88.34896,22.561073,10.0
64270,9247868120,11124467@N02,07-2013,85.295097,27.744591,16.0
65167,4406684120,42673181@N07,02-2010,73.914427,15.276816,14.0
65818,10140431236,57673737@N00,09-2013,85.905077,25.381094,16.0
66247,5615629515,58255533@N03,04-2011,79.433333,18.866666,16.0
67440,5734106309,34010070@N04,04-2011,77.219123,28.632614,14.0
68046,6640967055,59275783@N04,12-2011,85.309181,27.716509,11.0
68458,6014153459,99366248@N00,07-2011,80.898427,26.871942,15.0
69114,4278608987,14269353@N00,01-2010,87.862587,22.871149,10.0
70050,7540549384,8796403@N06,02-1994,83.822333,28.452333,16.0
70354,2220027724,25897810@N00,01-2008,76.331119,9.501804,12.0
71004,12191973514,57773506@N04,01-2014,85.325258,27.673266,16.0
72047,6334285026,50979393@N00,11-2011,73.020713,26.296461,16.0
72382,4191294728,16056465@N00,07-2009,76.458891,15.335155,16.0
72516,3316743089,11124467@N02,04-2008,77.828635,9.139191,16.0
73786,8416389653,37313707@N00,01-2013,84.855963,22.255261,16.0
74493,6221948927,85855348@N00,09-2011,75.82683,26.924061,16.0
76328,2093194513,21255424@N07,10-2007,85.314159,27.707087,12.0
76519,5838046377,98472009@N00,02-2011,90.608333,29.188888,16.0
76548,484542800,56495646@N00,03-2006,88.369216,22.5365,11.0
76769,6305864371,27087959@N00,10-2011,73.911316,15.501212,15.0
76907,2401911312,48889048097@N01,04-2008,80.263023,13.036538,16.0
77304,3411937111,42162585@N00,03-2009,79.833784,11.937158,13.0
78364,3385470662,7567977@N05,12-2008,76.652019,12.311203,16.0
78452,8978330664,85914824@N00,06-2013,80.191666,13.068333,16.0
78519,181280640,48889091015@N01,03-2006,80.255126,13.114255,7.0
78789,5354174992,37850683@N04,01-2011,74.15162,15.228953,13.0
78911,376845714,12498350@N00,01-2007,86.662902,27.518015,7.0
79833,7187859576,63644460@N05,05-2012,86.810686,27.948797,16.0
80022,7148773161,37850683@N04,05-2012,77.201056,28.625344,16.0
80548,2121168928,90417577@N00,06-2007,77.573089,12.963743,9.0
81536,10899780176,7194536@N02,11-2013,83.803141,28.346375,16.0
81668,8798337205,17046628@N08,05-2013,73.0345,19.115833,16.0
81956,357223393,36476418@N00,01-2007,83.019647,25.319045,12.0
82214,8703953085,45697441@N00,05-2013,77.637915,12.972982,16.0
82250,764383899,9895374@N08,02-2007,76.385407,15.28671,14.0
83067,5602551732,37850683@N04,04-2011,77.178397,28.533013,14.0
83103,8599484732,26029113@N07,12-2012,90.488891,29.843621,10.0
83329,8558905931,31792248@N04,03-2013,83.944655,28.20118,16.0
83962,12308744104,10297667@N06,10-2010,76.805172,30.752819,16.0
84168,8691756679,88792132@N00,04-2013,73.675346,24.571421,16.0
85319,6125024886,11734179@N04,08-2011,77.036132,28.777289,5.0
85337,8699416890,44124298927@N01,05-2013,80.262776,13.044748,16.0
85529,417928968,19364701@N00,02-2007,88.351686,22.64562,16.0
87375,2780159593,95152037@N00,07-2008,78.50315,33.90547,12.0
88290,174715115,63869057@N00,06-2006,78.518772,17.470946,12.0
88991,6751198455,39507698@N05,10-2004,79.046768,30.955971,12.0
89049,2180431116,69119358@N00,12-2007,73.753108,15.531925,12.0
89927,3990440272,7513474@N08,06-2009,76.228652,11.930339,13.0
90164,2540253537,9860698@N03,05-2008,77.111148,10.099853,11.0
90173,12525039725,23061526@N00,10-2013,77.21878,28.648415,9.0
90176,2145868600,23619903@N00,12-2007,76.080322,11.137645,10.0
93061,2362816837,21375717@N00,03-2008,75.593748,31.29124,12.0
93300,727935924,68556734@N00,06-2007,78.011856,27.181661,11.0
94219,10497358315,24499854@N08,10-2013,73.953616,18.49793,16.0
94361,8579790607,81565899@N00,03-2013,73.807245,18.563972,16.0
94615,4436706175,57419996@N00,02-2010,75.861539,13.166202,13.0
95210,2157115069,8616953@N04,12-2008,78.009796,27.17601,12.0
95215,4007020031,60955494@N00,10-2009,77.189941,28.658056,9.0
95701,5094283147,25095063@N04,10-2010,72.827536,18.932733,16.0
96202,11683783154,9808711@N04,12-2013,72.879888,19.116016,16.0
96235,13927278603,67977633@N08,04-2014,77.673694,27.48298,16.0
96861,3552666296,89027534@N00,01-2008,80.728225,7.953868,12.0
97081,549728472,89044848@N00,12-2006,78.042969,27.174846,15.0
98616,439610664,13143455@N00,03-2007,80.190582,12.624257,10.0
98640,3525539781,94965208@N00,02-2009,77.537555,8.089312,12.0
98802,3923539402,38476144@N07,09-2009,72.875877,19.07619,11.0
98842,2234663420,37525222@N00,01-2008,73.995666,15.042948,8.0
98926,6788541640,28552823@N02,02-2012,76.764907,30.737704,10.0
98933,4105909517,88589201@N00,10-2009,77.129516,28.60077,14.0
99123,3659554739,29933538@N06,06-2009,89.645004,27.458168,12.0
99210,8728850560,61079907@N00,03-2013,78.04269,27.17477,16.0
99266,379339564,57155801@N00,01-2007,75.662842,11.983913,16.0
99319,276169541,66493466@N00,10-2006,79.344978,29.688351,10.0
99390,3673906667,13016759@N03,06-2009,74.549961,32.520328,12.0
99870,882871989,10486874@N08,07-2007,85.312957,27.711798,12.0
100126,6364944183,10244582@N00,11-2011,77.994453,27.183799,11.0
100196,3983782892,8263540@N05,10-2009,73.750019,15.56434,12.0
100611,6270206952,25095063@N04,01-2011,73.774166,15.492011,16.0
100956,3118589009,78976320@N00,12-2008,77.419723,23.239089,9.0
101011,2530430576,12276011@N02,05-2008,90.77917,24.432615,10.0
101741,379171771,45275862@N00,01-2007,88.404386,22.51268,16.0
102806,8310044880,78258323@N00,12-2012,72.871938,18.639027,16.0
103849,8606930192,46273880@N00,03-2013,74.524566,15.861897,16.0
105001,4999417242,8246898@N07,09-2010,73.378722,18.080669,16.0
105490,90917154,54226355@N00,01-2006,73.078651,33.714916,11.0
106121,1468027706,85914824@N00,10-2007,80.292205,13.092687,12.0
106289,10584809345,8250978@N04,05-2013,77.168022,32.306344,16.0
106525,6980376414,9288799@N02,12-2011,79.921,24.851833,16.0
106697,1280957055,17178266@N00,08-2007,73.824048,18.495115,15.0
107004,400575422,89451934@N00,02-2007,72.834205,18.948992,11.0
107960,4541067122,60955494@N00,03-2010,78.721535,20.572485,6.0
108462,3356982014,21874540@N00,03-2009,70.912992,26.91266,15.0
108598,4663112237,41794718@N07,06-2010,77.175693,32.248087,11.0
109465,35421963,21424326@N00,06-2005,73.019514,26.290567,12.0
109512,230795680,43155522@N00,08-2006,75.72052,13.394963,8.0
109825,3378280870,11124467@N02,06-2008,77.296679,28.533695,16.0
110454,8693726679,88792132@N00,04-2013,73.682556,24.57866,15.0
110578,2253225203,63709829@N00,09-2007,78.042472,27.1715,16.0
111406,7396905446,16999444@N08,06-2012,77.18625,28.524854,16.0
111440,4519805419,19736899@N04,02-2010,88.339691,22.554415,9.0
112340,2021519255,70016893@N00,11-2007,72.903213,18.961168,12.0
115036,6045175891,76664011@N00,07-2011,77.239809,28.567411,13.0
115618,543785926,8327383@N02,05-2005,77.217407,28.61587,8.0
115784,4125555732,88589201@N00,10-2009,77.236289,28.649799,14.0
116008,4300472224,45463898@N05,09-2005,77.111663,31.967056,9.0
116301,2557273141,24151837@N08,04-2008,83.957519,28.323724,5.0
117143,4454668907,11264282@N02,03-2010,73.707275,24.584592,6.0
117302,2122724796,90417577@N00,07-2007,77.573089,12.963743,9.0
117606,3909548887,55104877@N00,08-2009,78.577984,25.457718,16.0
117824,8696885815,8243625@N08,01-2013,72.810104,18.890955,11.0
118531,5332034156,54765433@N06,01-2011,88.435209,22.572219,16.0
120400,1678562652,42126397@N00,05-2007,70.913486,26.912426,12.0
121237,3281229138,34073237@N04,01-2009,73.91138,15.28286,12.0
121948,8230780630,46273880@N00,06-2009,78.474602,17.361861,16.0
122163,1516661205,48889048097@N01,01-1980,77.672116,12.967914,16.0
123823,1438731935,45801303@N00,08-2007,75.850499,26.986125,16.0
123909,10161422096,91558463@N04,09-2013,88.595123,27.318094,9.0
124834,3074585929,41178808@N00,11-2008,72.868629,35.02784,9.0
125203,458691816,24711978@N00,04-2007,77.21775,28.670708,11.0
125519,5478233451,29486666@N00,02-2011,84.499797,27.561699,12.0
125844,8694942964,88792132@N00,04-2013,77.218523,28.613308,14.0
126260,6327261810,28552823@N02,10-2011,77.664241,27.085951,13.0
126747,3417383643,23735533@N05,04-2009,78.52478,17.404373,12.0
127278,395374873,95672737@N00,02-2007,91.100006,29.650838,12.0
128023,7088240705,45774179@N00,03-2012,77.493095,10.23422,11.0
128133,2214148547,53555696@N00,01-2008,72.829538,18.980218,16.0
128846,13951046011,123434952@N02,05-2013,84.991908,24.695177,16.0
129172,5606541446,26557761@N00,03-2011,77.878904,29.86613,15.0
130465,8532768271,22991176@N02,03-2013,83.989105,28.227575,10.0
130767,336459100,43646035@N00,12-2006,73.642044,24.602933,12.0
131435,6858994612,20897132@N00,03-2012,85.349166,27.710166,16.0
131605,389100825,68561886@N00,02-2007,77.290019,8.539093,12.0
132636,9040274109,8537588@N03,06-2013,78.057861,30.30176,8.0
132687,2328347436,51035734152@N01,02-2008,69.168548,34.533712,10.0
134452,1482638336,13962136@N03,05-2006,86.686248,27.741276,9.0
134841,10849276424,72155957@N00,10-2013,79.131925,10.782913,16.0
135451,6304354110,42423795@N00,10-2011,73.905833,15.532333,16.0
136382,4721751741,14113765@N00,04-2010,80.75972,7.95694,16.0
136413,8564042911,21375717@N00,03-2013,75.591366,31.297069,16.0
139006,11337983253,74821492@N00,12-2013,72.584808,23.012896,16.0
140888,12241376136,10297667@N06,10-2009,78.024108,27.178225,16.0
141146,5403375631,47335827@N00,11-2010,84.243067,28.55232,16.0
141526,8480761474,26621269@N00,10-2012,85.307061,27.704847,16.0
141612,8205962554,67455754@N06,11-2012,88.193748,22.192459,11.0
142987,4207844081,42713709@N00,12-2009,76.238937,9.957184,14.0
144126,3488524188,37816312@N05,11-2008,85.090055,20.848063,16.0
145590,788875568,28747587@N00,09-2003,73.919448,15.235744,12.0
145754,4489851214,66729335@N00,04-2010,72.862111,18.99542,16.0
145783,565473499,89044848@N00,01-2007,75.837142,26.979767,15.0
145850,3944852391,9978960@N02,08-2009,80.24738,13.085163,15.0
145872,42234389,71481771@N00,01-2005,84.991012,24.696027,16.0
146075,6415347681,30789195@N07,11-2011,88.247,27.016666,16.0
146478,4517560344,60955494@N00,02-2010,82.599208,19.606841,4.0
147352,4226045333,9895374@N08,12-2008,77.623043,14.246497,12.0
147655,8665993608,24499854@N08,04-2013,73.939991,18.551093,16.0
148820,8698608122,31043283@N08,08-2007,77.2229,28.606225,8.0
149890,9245144961,73214610@N08,07-2013,76.650323,12.256056,13.0
150124,4028313307,55104877@N00,10-2009,80.20042,13.093512,16.0
153430,6388545161,90237600@N00,11-2011,77.588666,12.949166,16.0
154855,2631943552,33246833@N00,05-2008,77.486572,10.232069,12.0
155165,5835167994,98472009@N00,02-2011,90.538055,30.103888,16.0
156175,3335429866,11124467@N02,05-2008,70.406478,23.30129,16.0
156567,2400694532,11124467@N02,04-2008,76.486685,12.86147,16.0
157473,5147261965,42833030@N04,01-1994,75.806694,26.907069,10.0
157484,3340920987,91635350@N00,03-2009,81.206817,8.597315,10.0
157593,5365884783,48587703@N00,01-2011,72.92407,22.564561,15.0
157824,8496712927,22991176@N02,02-2013,75.769958,26.97838,8.0
157871,86183494,17118606@N00,01-2006,74.34843,31.569614,12.0
158135,8306501445,87624083@N06,12-2012,71.476031,33.999779,16.0
158597,10295475906,96854014@N02,10-2009,91.116571,29.650278,14.0
158626,9660169610,72478268@N00,08-2013,78.40413,17.385363,16.0
159911,2919434760,30088500@N00,10-2008,90.389295,23.764176,16.0
160381,5716303361,25869855@N04,04-2011,77.575508,34.173027,16.0
160507,1520797818,21375717@N00,10-2007,75.593748,31.29124,12.0
160801,4540642652,66729335@N00,04-2010,73.910973,18.536288,15.0
162558,374687781,12498350@N00,01-2007,86.662902,27.518015,7.0
162563,6250500731,8997331@N04,10-2011,76.644607,12.30512,11.0
162834,2041100525,14876615@N08,02-2006,73.966741,15.25479,12.0
163639,3082573518,32466773@N03,11-2008,73.920049,15.495701,14.0
164596,4609311350,9769664@N04,08-2009,85.429687,27.677219,12.0
165340,4726220237,60955494@N00,05-2010,83.993396,28.221827,12.0
165815,544050201,83884330@N00,06-2007,77.56029,12.970214,16.0
165840,422081689,60799530@N00,02-2007,68.820075,25.474582,12.0
166285,116919465,37706524@N00,03-2006,78.597736,25.374274,16.0
167180,6273752143,24203582@N04,10-2011,86.028442,28.381735,6.0
167591,5359190250,82253519@N00,12-2010,76.170272,10.190622,12.0
167785,6806022145,33088287@N00,07-2011,85.468654,27.657531,12.0
167812,216111433,14417999@N00,08-2006,77.503051,34.497502,6.0
168279,884634205,10486874@N08,06-2007,86.566772,27.934967,8.0
169120,5572152114,25467633@N00,03-2011,77.248762,28.593226,16.0
170815,8718377736,13810514@N07,02-2013,74.885559,34.043556,9.0
171579,5853885132,64225828@N03,05-2011,72.828369,19.119219,7.0
171979,5243833105,34791752@N08,04-2010,85.414656,27.676155,16.0
173265,8289015944,7183730@N06,04-2012,79.92188,24.85212,16.0
173347,6334919114,28552823@N02,10-2011,88.354797,22.553147,9.0
173392,4920678136,10392797@N03,08-2010,91.309089,29.148413,12.0
175110,1020135631,95464641@N00,07-2007,72.577743,23.032978,10.0
175786,4884776777,15436462@N00,08-2010,73.740433,18.575808,16.0
177675,268949209,35032604@N00,10-2006,77.564849,13.451817,12.0
177732,5020803605,90131400@N00,09-2010,72.833833,18.9225,16.0
178085,4127027128,21177724@N02,11-2009,77.641764,12.959545,16.0
178452,6618900321,73216620@N08,11-2011,86.726932,27.680335,12.0
179279,6423491607,60629773@N07,11-2011,80.021967,9.671449,14.0
179980,3408983149,11124467@N02,05-2008,77.807372,33.83738,16.0
180083,8782843397,90276808@N03,12-2012,72.628126,23.188436,15.0
180189,46717646,17352537@N00,08-2005,81.008003,7.9327,10.0
180569,6932349443,53093282@N03,01-2012,73.684272,15.745006,12.0
181543,354984327,58435577@N00,12-2006,76.247863,9.956846,12.0
182461,5838721740,30851923@N04,06-2011,85.781936,25.861135,14.0
182875,4529619223,60955494@N00,03-2010,74.323196,14.546034,11.0
183006,64163243,57155801@N00,11-2005,77.213973,28.610144,10.0
184109,164694392,98719591@N00,05-2006,77.165222,32.268555,8.0
185993,5597546850,37850683@N04,04-2011,77.181358,28.524548,14.0
186481,8461649626,22991176@N02,02-2013,73.168945,28.188243,6.0
187091,13227736835,91316426@N04,09-2013,77.624374,13.000819,16.0
187863,10195655055,8078844@N07,01-2012,75.700813,20.552755,16.0
188425,2235063828,43186907@N00,02-2008,76.460766,15.337705,15.0
188734,5353339321,9643110@N08,05-2010,76.709289,10.005452,12.0
188740,3317352996,11124467@N02,04-2008,77.989868,9.825848,16.0
190643,4736710471,51504857@N03,05-2010,76.329295,9.973204,14.0
191021,303615869,33246833@N00,11-2006,79.690532,11.400105,12.0
191343,345568668,68222897@N00,12-2005,85.361916,27.721438,16.0
191778,8293394005,30703260@N08,12-2012,74.038753,14.986659,14.0
191866,8081753358,39489503@N00,10-2012,84.531622,27.561258,16.0
192601,2642529157,19364701@N00,07-2008,76.612472,11.69813,11.0
193587,4433946462,49291907@N00,02-2010,76.476183,15.342243,16.0
193895,601092764,89044848@N00,07-2004,76.657619,12.427063,15.0
194634,5115280750,25095063@N04,10-2010,77.202213,28.556033,16.0
195631,106170529,48889048097@N01,02-2006,73.808898,18.549928,7.0
196830,2959158690,29955347@N06,10-2008,88.765325,22.091207,12.0
197268,5432440945,27788004@N02,02-2011,72.871241,19.075543,14.0
198954,241367576,32573704@N00,09-2006,80.266542,13.080063,12.0
199464,6595810207,57716062@N06,02-2011,80.244483,13.062589,11.0
199766,3603893184,22451301@N00,05-2009,78.067474,30.461214,14.0
200072,8488270413,24560044@N08,01-2006,71.559341,34.009151,11.0
200402,2434836111,46529447@N00,03-2006,83.195343,18.643317,11.0
200573,6034906379,66261327@N00,01-2011,74.626007,26.47549,8.0
202334,2123730558,90417577@N00,08-2007,77.573089,12.963743,9.0
203166,3971394433,41894169856@N01,09-2009,76.24855,9.946915,9.0
203966,4278578599,14269353@N00,01-2010,87.862587,22.871149,10.0
203999,3659599837,12276011@N02,06-2009,90.389842,23.70179,14.0
204022,6734487211,9620344@N08,01-2012,87.6721,21.651524,12.0
204738,5427573615,63897193@N00,12-2010,77.21569,28.641183,10.0
206285,6162977301,65638600@N05,09-2009,90.391044,23.702851,12.0
207306,2344110832,24661421@N02,11-2007,85.276619,27.717972,16.0
208600,2895905336,68509408@N00,08-2004,68.435039,33.539677,11.0
208799,2440402223,60627558@N00,02-2008,73.019256,26.292645,13.0
209398,4043664267,68222897@N00,09-2009,77.625338,32.388336,16.0
209702,4370019733,38458469@N02,02-2010,76.328887,32.230954,12.0
210897,8223669819,46273880@N00,08-2008,73.335847,16.557102,16.0
211382,117263675,37706524@N00,03-2006,79.924678,24.859415,16.0
211586,4545026987,49291907@N00,03-2010,78.042176,27.17186,16.0
212423,5627106915,37850683@N04,04-2011,77.183632,28.521023,15.0
212714,238196374,73876849@N00,09-2006,72.82545,19.091482,12.0
214116,5053101587,52032216@N00,01-2007,91.132278,29.655015,12.0
214314,370075801,61009686@N00,03-2005,90.737579,27.587406,16.0
215392,2703180044,12209941@N00,06-2008,74.167671,17.281808,12.0
215400,350451861,36323312@N00,12-2006,80.265941,12.994689,12.0
215635,4876881312,79581021@N00,02-2010,75.800085,12.185928,13.0
215841,53913724,21424326@N00,08-2005,76.297731,9.976712,12.0
215935,613981325,89044848@N00,07-2004,79.92897,24.852562,12.0
216893,8555368627,22991176@N02,03-2013,85.317764,27.713926,10.0
217035,4460621301,10519936@N07,12-2007,91.099576,29.650852,13.0
217543,5384485274,25762759@N05,01-2011,84.85,22.216666,16.0
218432,4723485234,60955494@N00,04-2010,83.993396,28.221827,12.0
218848,4793901666,53739619@N00,03-2008,73.379058,18.763313,16.0
218869,34337783,29465723@N00,08-2005,70.897178,26.911814,12.0
220097,2177770639,89165847@N00,01-2008,78.473024,17.376197,12.0
222800,6845667379,54481271@N00,02-2012,74.787808,13.013307,16.0
223366,4678526928,43258217@N02,06-2010,74.870452,31.652212,9.0
224336,2811895965,25794509@N05,07-2008,91.054687,23.997627,4.0
224346,2255820565,15271731@N00,10-2008,77.006177,28.475934,12.0
224872,5413741483,11083093@N02,01-2011,76.45243,15.334808,15.0
225226,1668717879,9643247@N08,09-2007,76.948242,10.250059,4.0
227365,12525144005,23061526@N00,10-2013,77.21878,28.648415,9.0
227963,6221106367,85855348@N00,09-2011,75.787952,26.927786,16.0
229761,7271573194,76200355@N03,04-2012,90.400314,23.696249,11.0
230461,5581195745,37850683@N04,04-2011,77.224745,28.625919,16.0
231860,4401725713,23874626@N06,02-2010,76.978658,8.385197,15.0
232413,7972971714,14016143@N06,08-2012,77.192816,32.32384,14.0
232693,5879543841,40584328@N00,06-2011,77.624995,12.980743,15.0
232765,5431173535,9048128@N07,02-2011,73.902111,15.501243,12.0
232812,7808969718,86054849@N00,08-2012,80.18991,12.609283,16.0
233270,6035435416,66261327@N00,01-2011,77.052612,28.719496,6.0
233612,223157595,45075446@N00,08-2006,78.475341,17.507867,6.0
234201,3358280936,9620344@N08,12-2008,88.343038,22.547816,16.0
234537,1548606292,21375717@N00,10-2007,75.593748,31.29124,12.0
234745,3271524303,30889436@N05,01-2009,77.244958,28.608825,15.0
